label,time_s,x_m,v_m_s,theta_rad,omega_rad_s
last,2.42,-0.1535614439759727,0.29003078279725836,3.0536951425833063,0.25389230714564004
last,2.43,-0.15061774337055708,0.29870933828584506,3.0562375510605633,0.25482099062981295
last,2.44,-0.14759125291490663,0.3065887528442556,3.0587740780247263,0.25271507409469757
last,2.45,-0.1444855652909058,0.3145487719558891,3.0612986888423035,0.2524368355660326
last,2.46,-0.1413124028009918,0.3200837260269338,3.06376023344596,0.24009543232736802
last,2.47,-0.13807194642870765,0.32800754842988805,3.066171153368274,0.2423081289223269
last,2.48,-0.134765579907803,0.333265755751055,3.068536937625095,0.23106334168415968
last,2.49,-0.13139514213693634,0.34082179842225885,3.0708603115514514,0.23382302270971164
last,2.5,-0.12796276131187076,0.3456543665908987,3.0731421547502196,0.2227525647655979
last,2.5100000000000002,-0.12447010130818555,0.35287763414613565,3.07538569730749,0.2261602521060954
last,2.52,-0.12091876851874149,0.35738892374269304,3.077594271425923,0.2157548342110117
last,2.5300000000000002,-0.11731036688068736,0.3642914038681205,3.0797710334898105,0.2197957982451846
last,2.54,-0.11364897246957749,0.3679874783538989,3.081905246487607,0.20724023589911553
last,2.5500000000000003,-0.10993565769218022,0.3746754771255663,3.0840026041995854,0.21242229786388953
last,2.56,-0.10617268096848627,0.3779198676132371,3.086062013147956,0.19964610408374048
last,2.57,-0.10236033557718974,0.38454921064607406,3.088093079301333,0.20675207278419705
last,2.58,-0.09848739734379099,0.3900384360336475,3.0901691740830524,0.20865562934446666
last,2.59,-0.09455659551729102,0.39612192926637424,3.0922864771312524,0.21499778182807566
last,2.6,-0.09056968059073903,0.4012610560440232,3.094446824237005,0.2172680234582524
last,2.61,-0.08653103517445639,0.40646802721254094,3.09663766856508,0.22110015732902533
last,2.62,-0.08244361515814458,0.41101597604982126,3.0988545483558037,0.2224772229977166
last,2.63,-0.07831068892673743,0.4155692702316448,3.1010914032848347,0.2250970964513409
last,2.64,-0.07414387540437535,0.4177934342407391,3.103295905437782,0.21600306484684398
last,2.65,-0.06994199000834858,0.422583644964616,3.1054866479164387,0.22234462137692998
last,2.66,-0.0657029105510424,0.42523224649659835,3.107687359979404,0.21799726000768097
last,2.67,-0.06143209026140763,0.42893181143037507,3.1098797431062954,0.22067855541989664
last,2.68,-0.05712986240093382,0.4315137606643839,3.1120738967954624,0.21835096205593246
last,2.69,-0.05280000070657501,0.4344585782074135,3.1142608092394157,0.21923006539263365
last,2.7,-0.04844392796504346,0.43675597009889294,3.1164444949670376,0.21770499534074006
last,2.71,-0.04406464677224105,0.43910026846162475,3.118620167215478,0.2176268232270846
last,2.72,-0.039664061878037685,0.4410167103790442,3.120789097456764,0.2163558166453893
last,2.73,-0.03524543532543303,0.44270860014192254,3.1229449751142178,0.21501510558466055
last,2.74,-0.030811055408265196,0.4441673832916418,3.125086828792028,0.21354972579520942
last,2.75,-0.026363183979752642,0.4454069024109044,3.1272137566137648,0.21202856769501086
last,2.7600000000000002,-0.02190404558060543,0.4464207774185338,3.1293249820044826,0.2104077979664654
last,2.77,-0.01743585964937681,0.44721640882722524,3.131419670484183,0.20871967336893404
last,2.7800000000000002,-0.01296081741970134,0.4477920371078649,3.1334970537168085,0.2069451653602283
last,2.79,-0.0084810957724159,0.44815229234925896,3.1355563484133695,0.2051003149310625
last,2.8000000000000003,-0.003998847007401072,0.4482974606537023,3.1375968090640556,0.2031766372213035
last,2.81,0.0004837953747667231,0.44823101577989255,3.139617691831431,0.2011829538312436
last,2.82,0.004964721715369577,0.4479542523407141,3.1416182786496023,0.19911559820344393
last,2.83,0.009441043287219586,0.44731006202928214,3.143593410499738,0.1960897248376386
last,2.84,0.013908958708728363,0.44627302227250726,3.145532718399221,0.19194748059832523
last,2.85,0.01836590290592932,0.44511581716767945,3.1474325085037207,0.18818261165735775
last,2.86,0.022810256825935113,0.44375496683351207,3.1492941307791127,0.18431044869969923
last,2.87,0.027245420532260832,0.44327777443162614,3.1511466208917667,0.18635577088050984
last,2.88,0.031675030706939784,0.4426442605041665,3.153020283148299,0.1885469237368703
last,2.89,0.036096554855904066,0.4416605692886513,3.1549112495562284,0.1898180368839375
last,2.9,0.040507125745400066,0.4404536086105508,3.1568138848538303,0.19088173298243108
last,2.91,0.04490568255580233,0.4392577534698647,3.158732656643332,0.19304696437429927
last,2.92,0.04929495630040841,0.43859699545137104,3.1606931943806487,0.19923879054868254
last,2.93,0.053672187141114526,0.4368491726898354,3.162690843131769,0.20047228531359357
last,2.94,0.05802802028389494,0.43431745586625753,3.164684501666597,0.19844000400159767
last,2.95,0.06235815996239638,0.43171047983400035,3.1666611590178855,0.19707060162180545
last,2.96,0.06666073679614437,0.4288048869156043,3.168621199617699,0.19511508032750244
last,2.97,0.07093315558698482,0.42567887125245724,3.1705608844806266,0.192997597107249
last,2.98,0.07517311815862865,0.42231364307634034,3.172478015235713,0.19060234379037758
last,2.99,0.07937829462511672,0.4187216502212683,3.1743700973181705,0.18798558337800303
last,3.0,0.08354643053612748,0.41490553198091196,3.176234919490177,0.18514788215120603
last,3.0100000000000002,0.08767541424214802,0.41089120922319106,3.178070916717034,0.18221798288873023
last,3.02,0.09176316157140599,0.4066582566284342,3.179876521199407,0.17906656955413977
last,3.0300000000000002,0.09580768690244942,0.40224680958024694,3.1816505482495088,0.17589964096658786
last,3.04,0.0998079095673054,0.39779772339097713,3.1833966680823877,0.17348266208775365
last,3.0500000000000003,0.10376230872962094,0.3930821090721294,3.1851159564778095,0.17053088906379463
last,3.06,0.10766865338754181,0.388186822512071,3.186805399813056,0.16751094738325528
last,3.0700000000000003,0.11152502832462238,0.38308816490403874,3.1884635773470897,0.16427488573335558
last,3.08,0.11532947526602103,0.37780122337571864,3.1900886603350282,0.1608890337088366
last,3.09,0.11908011896616677,0.3723275166534593,3.191679102266,0.15734352829241482
last,3.1,0.12277512411460068,0.3666735130333115,3.193233390609624,0.15365513016373433
last,3.11,0.1264127121444851,0.36084409294359004,3.1947501332141752,0.14983097409939058
last,3.12,0.1299911557847403,0.35484463510743885,3.196228018912169,0.14588022319215602
last,3.13,0.13350878115812673,0.3486804395698719,3.1976658224448884,0.14181090377050318
last,3.14,0.13696396884220896,0.3423570972465686,3.1990624035691,0.13763200030796158
last,3.15,0.14035524800893037,0.3358987360977345,3.200417223058769,0.133454791715055
last,3.16,0.14368454620097776,0.3299609023117236,3.201748369253162,0.132895389367816
last,3.17,0.1469525200350386,0.32363386450044423,3.2030667529890353,0.13090095902986282
last,3.18,0.15015642402580734,0.31714693365327595,3.2043643374193946,0.12873363087736484
last,3.19,0.15329116154700181,0.3098005705856493,3.205619934648198,0.12249969321897881
last,3.2,0.1563508345759708,0.3021340352081469,3.206807685763812,0.11515819956672055
last,3.21,0.15933478059516637,0.29465516863099883,3.207930403230762,0.10948712660183706
last,3.22,0.16224875605428832,0.28813992319337667,3.2090261430088893,0.10976046961890239
last,3.23,0.16509477742615272,0.2810643511795219,3.210112074814839,0.10752441434773259
last,3.24,0.16786971475165344,0.27392311392061053,3.211176770237533,0.10551128950351697
last,3.25,0.17057126805444137,0.2663875466369803,3.2122132917861865,0.1018870787856754
last,3.2600000000000002,0.173190754928568,0.25750982818834106,3.2131791646160774,0.09137515892577171
last,3.27,0.1757236613473913,0.2490714555763419,3.2140546409356263,0.08379960335726977
last,3.2800000000000002,0.17817107458307882,0.24041119156114404,3.2148505355784947,0.0754515678437333
last,3.29,0.1805320525246149,0.2317843967460808,3.2155659771257343,0.06770167362997939
last,3.3000000000000003,0.18280649800450785,0.2231046992325004,3.21620433879135,0.060028576994715206
last,3.31,0.1849940851045598,0.21441272077791076,3.2167673043971137,0.052615603448102205
last,3.3200000000000003,0.18709465787517843,0.20570183334581224,3.217257087798288,0.045385477208615604
last,3.33,0.1891080799290154,0.19698257742158765,3.217675611186431,0.03835711695547146
last,3.34,0.19103428976599818,0.18825938997499359,3.2180248222067123,0.0315166964422016
last,3.35,0.1928732795302348,0.17953856287233233,3.218306586820733,0.02486169813939681
last,3.36,0.19462509908697095,0.17082534847490216,3.2185227220765102,0.0183848523936468
last,3.37,0.19628985425829304,0.16212568578950778,3.2186749962447854,0.01208366917852633
last,3.38,0.19786770616747668,0.1534446960472289,3.21876513532091,0.0059520842655408635
last,3.39,0.1993588686044619,0.14478779134981043,3.218794816802394,-1.3424902157211402e-05
last,3.4,0.20076360906297339,0.13616030035249618,3.2187656848381376,-0.0058159343747026145
last,3.41,0.20208224608215392,0.12756710348359945,3.218679345441352,-0.011460112316936354
last,3.42,0.20331514807831266,0.11901329574815653,3.218537368162591,-0.016948568548135354
last,3.43,0.20446273344029328,0.11050377664796712,3.2183412953221575,-0.02228414174119991
last,3.44,0.20552487908450426,0.10192535219423193,3.2180893730139837,-0.02812357604438607
last,3.45,0.20650177660411576,0.09345415172807572,3.2177812854674013,-0.03352227772272097
last,3.46,0.20739421759649418,0.08503404674760713,3.2174197354030754,-0.038820940782829584
last,3.47,0.20820284752033774,0.07669193802110548,3.217006323475811,-0.04389935806306824
last,3.48,0.20892842535735112,0.0684236293815793,3.216542996268394,-0.048808529640989716
last,3.49,0.20957172484734923,0.06023626861802929,3.2160315095862044,-0.05353562451324191
last,3.5,0.21013356926160642,0.05213261423341642,3.215473630868656,-0.05809114721598768
last,3.5100000000000002,0.21061481648977512,0.044116831400316886,3.2148710662610536,-0.06247685709749614
last,3.52,0.21101636271153126,0.036192412950915194,3.2142254903661924,-0.0666973063688186
last,3.5300000000000002,0.21133913872492868,0.028362789728563934,3.213538535117384,-0.07075648058537835
last,3.54,0.21158411014905454,0.020631495096606094,3.2128117999505315,-0.07465690752478418
last,3.5500000000000003,0.2117522762080948,0.013001716711443657,3.2120468539591758,-0.07840215597846724
last,3.56,0.21184466672726002,0.005476387121600162,3.21124522731084,-0.08199635986101513
last,3.5700000000000003,0.21186234191820869,-0.0019413489318667143,3.210408419154966,-0.08544164155547593
last,3.58,0.21180639202141932,-0.009248630426007093,3.209537903660676,-0.08874087711345377
last,3.59,0.21167793395640944,-0.016442982575970228,3.2086351195597387,-0.09189828132603653
last,3.6,0.21147811219196333,-0.023521370313244475,3.2077014828902235,-0.09491417993350812
last,3.61,0.21120809640963015,-0.030481786153393163,3.206738381834044,-0.09779382140335113
last,3.62,0.2108690794652448,-0.03732160272367522,3.2057471730448186,-0.1005382654992021
last,3.63,0.2104622777703979,-0.04403873624570868,3.2047291912242586,-0.1031508450657429
last,3.64,0.2099889292777986,-0.05063096227415113,3.2036857452823946,-0.10563338786354422
